"","Object","FilterName","Duration","HFR","FWHM","GuidingRMSArcSec","ExposureStart","FocuserTemp"
"1","NGC6992_2025-07-28","H",180,2.9927,5.49261288117459,0.6945,2025-07-28 22:00:00,29.4
"2","NGC6992_2025-07-28","H",180,3.0356,5.46136755241703,0.8661,2025-07-28 22:03:00,29.3
"3","NGC6992_2025-07-28","H",180,3.0166,5.55955658349729,0.9239,2025-07-28 22:06:00,29.1
"4","NGC6992_2025-07-28","H",180,3.0716,5.44473899663992,0.644,2025-07-28 22:09:00,29
"5","NGC6992_2025-07-28","H",180,3.1894,5.79555140892213,0.7889,2025-07-28 22:12:00,29
"6","NGC6992_2025-07-28","H",180,3.1932,5.74629437055743,0.7825,2025-07-28 22:15:00,29
"7","NGC6992_2025-07-28","H",180,3.0982,5.56036732168369,0.6431,2025-07-28 22:18:00,28.9
"8","NGC6992_2025-07-28","H",180,3.1036,5.59462013384093,0.7066,2025-07-28 22:21:00,28.9
"9","NGC6992_2025-07-28","H",180,3.1918,5.63436401419126,0.852,2025-07-28 22:24:00,28.9
"10","NGC6992_2025-07-28","H",180,3.243,5.66962550064809,0.7537,2025-07-28 22:27:00,28.8
"11","NGC6992_2025-07-28","H",180,3.1683,5.71480068981783,0.7734,2025-07-28 22:30:00,28.8
"12","NGC6992_2025-07-28","H",180,3.172,5.76856377715859,0.6933,2025-07-28 22:33:00,28.8
"13","NGC6992_2025-07-28","H",180,3.3406,5.95041639283755,0.989,2025-07-28 22:36:00,28.8
"14","NGC6992_2025-07-28","H",180,3.3589,5.82530519487683,0.8152,2025-07-28 22:39:00,28.8
"15","NGC6992_2025-07-28","H",180,3.3916,5.99471593023258,0.7593,2025-07-28 22:43:00,28.6
"16","NGC6992_2025-07-28","H",180,3.3946,6.07769298633221,0.825,2025-07-28 22:46:00,28.5
"17","NGC6992_2025-07-28","H",180,3.1038,5.51860589278286,0.6618,2025-07-28 22:51:00,28.5
"18","NGC6992_2025-07-28","H",180,3.0104,5.61869054946455,0.5682,2025-07-28 22:54:00,28.6
"19","NGC6992_2025-07-28","H",180,3.0089,5.53153993601333,0.4722,2025-07-28 22:57:00,28.7
"20","NGC6992_2025-07-28","H",180,3.0002,5.55920310593572,0.4257,2025-07-28 23:00:00,28.7
"21","NGC6992_2025-07-28","H",180,3.0451,5.54800351170141,0.5084,2025-07-28 23:03:00,28.6
"22","NGC6992_2025-07-28","H",180,3.0109,5.53696313007422,0.4338,2025-07-28 23:06:00,28.6
"23","NGC6992_2025-07-28","H",180,3.046,5.60739403379093,0.4667,2025-07-28 23:09:00,28.6
"24","NGC6992_2025-07-28","H",180,0,NA,0.1953,2025-07-28 23:12:00,28.4
"25","NGC6992_2025-07-28","H",180,0,NA,0.1801,2025-07-28 23:15:00,28.4
"26","NGC6992_2025-07-28","H",180,0,NA,0.4952,2025-07-28 23:18:00,28.3
"27","NGC6992_2025-07-28","H",180,0,NA,0.3665,2025-07-28 23:21:00,28.2
"28","NGC6992_2025-07-28","H",180,2.7706,5.05278664022415,0.63,2025-07-28 23:24:00,28.2
"29","NGC6992_2025-07-28","H",180,2.7902,5.05422326923512,0.3653,2025-07-28 23:27:00,28.2
"30","NGC6992_2025-07-28","H",180,2.7921,5.01480154623138,0.3355,2025-07-28 23:30:00,28.2
"31","NGC6992_2025-07-28","H",180,2.9435,5.44547431771097,0.4829,2025-07-28 23:33:00,28.2
"32","NGC6992_2025-07-28","H",180,2.835,5.08169309735613,0.257,2025-07-28 23:36:00,28.2
"33","NGC6992_2025-07-28","H",180,0,NA,0.1681,2025-07-28 23:39:00,28.2
"34","NGC6992_2025-07-28","H",180,0,NA,0.1533,2025-07-28 23:42:00,28.4
"35","NGC6992_2025-07-28","H",180,0,NA,0.0863,2025-07-28 23:45:00,28.5
"36","NGC6992_2025-07-28","H",180,0,NA,0.1581,2025-07-28 23:48:00,28.4
"37","NGC6992_2025-07-28","H",180,3.312,6.10268074917765,0.7496,2025-07-28 23:51:00,28.5
"38","NGC6992_2025-07-28","H",180,3.0491,5.65390641308416,0.402,2025-07-28 23:54:00,28.6
"39","NGC6992_2025-07-28","H",180,2.9953,5.52455555965248,0.2783,2025-07-28 23:57:00,28.6
"40","NGC6992_2025-07-28","H",180,2.9098,5.52959505517076,0.514,2025-07-29,28.5
"41","NGC6992_2025-07-28","H",180,2.9509,5.50920458548946,0.4272,2025-07-29 00:03:00,28.4
"42","NGC6992_2025-07-28","H",180,2.9267,5.44048940554118,0.3919,2025-07-29 00:06:00,28.3
"43","NGC6992_2025-07-28","H",180,2.9368,5.4578348144502,0.3638,2025-07-29 00:09:00,28.2
"44","NGC6992_2025-07-28","H",180,2.9112,5.42969720079678,0.4177,2025-07-29 00:12:00,28.2
"45","NGC6992_2025-07-28","H",180,2.7612,5.05005790796502,0.2554,2025-07-29 00:15:00,28.3
"46","NGC6992_2025-07-28","H",180,3.0197,4.93852937827884,0.8269,2025-07-29 00:19:00,28.4
"47","NGC6992_2025-07-28","H",180,0,NA,0.1316,2025-07-29 00:22:00,28.5
"48","NGC6992_2025-07-28","H",180,0,NA,0.2812,2025-07-29 00:25:00,28.4
"49","NGC6992_2025-07-28","H",180,2.812,5.26794095298755,0.5214,2025-07-29 00:28:00,28.2
"50","NGC6992_2025-07-28","H",180,0,NA,0.1348,2025-07-29 00:31:00,28.1
"51","NGC6992_2025-07-28","H",180,0,NA,0.123,2025-07-29 00:34:00,28.2
"52","NGC6992_2025-07-28","H",180,2.8782,5.33727086873056,0.5805,2025-07-29 00:37:00,28.2
"53","NGC6992_2025-07-28","H",180,2.8363,5.33373807714761,0.4216,2025-07-29 00:40:00,28.2
"54","NGC6992_2025-07-28","H",180,2.8903,5.36288442930371,0.4188,2025-07-29 00:43:00,28.2
"55","NGC6992_2025-07-28","H",180,2.9166,5.42758561744389,0.4193,2025-07-29 00:46:00,28.1
"56","NGC6992_2025-07-28","H",180,2.8872,5.37867739857758,0.4616,2025-07-29 00:49:00,28.1
"57","NGC6992_2025-07-28","H",180,2.6298,4.94784689132187,0.5375,2025-07-29 00:54:00,28.1
"58","NGC6992_2025-07-28","H",180,2.5926,4.9088517639904,0.332,2025-07-29 00:57:00,28
"59","NGC6992_2025-07-28","H",180,2.6138,4.92155201620792,0.3505,2025-07-29 01:00:00,27.9
"60","NGC6992_2025-07-28","H",180,2.624,4.95252663676925,0.368,2025-07-29 01:03:00,27.8
"61","NGC6992_2025-07-28","H",180,2.6307,4.95624052026325,0.3813,2025-07-29 01:06:00,27.9
"62","NGC6992_2025-07-28","H",180,2.6278,4.94978849544437,0.3424,2025-07-29 01:09:00,27.9
"63","NGC6992_2025-07-28","H",180,2.6169,4.93495365636191,0.4599,2025-07-29 01:12:00,27.9
"64","NGC6992_2025-07-28","H",180,2.6073,4.91048602627486,0.3797,2025-07-29 01:15:00,27.8
"65","NGC6992_2025-07-28","H",180,2.6025,4.90313280299608,0.3007,2025-07-29 01:18:00,27.6
"66","NGC6992_2025-07-28","H",180,2.5961,4.89331663042691,0.3478,2025-07-29 01:21:00,27.6
"67","NGC6992_2025-07-28","H",180,2.5747,4.87217683130101,0.4134,2025-07-29 01:24:00,27.6
"68","NGC6992_2025-07-28","H",180,2.5708,4.87181736797032,0.3643,2025-07-29 01:27:00,27.6
"69","NGC6992_2025-07-28","H",180,2.584,4.87151131214622,0.3506,2025-07-29 01:30:00,27.6
"70","NGC6992_2025-07-28","H",180,2.593,4.89652239348414,0.4033,2025-07-29 01:33:00,27.6
"71","NGC6992_2025-07-28","H",180,2.5624,4.8764509661525,0.295,2025-07-29 01:36:00,27.4
"72","NGC6992_2025-07-28","H",180,2.5759,4.91781278731067,0.3203,2025-07-29 01:39:00,27.2
"73","NGC6992_2025-07-28","H",180,2.5681,4.8777222626641,0.3693,2025-07-29 01:42:00,27.2
"74","NGC6992_2025-07-28","H",180,2.5568,4.91472672144774,0.3768,2025-07-29 01:45:00,27.4
"75","NGC6992_2025-07-28","H",180,2.566,4.89991767624247,0.3898,2025-07-29 01:48:00,27.4
"76","NGC6992_2025-07-28","H",180,2.5611,4.90388413509391,0.5245,2025-07-29 01:51:00,27.5
"77","NGC6992_2025-07-28","H",180,2.5654,4.90399053268773,0.4521,2025-07-29 01:54:00,27.4
"78","NGC6992_2025-07-28","H",180,2.5828,4.89265699423919,0.2889,2025-07-29 01:57:00,27.3
"79","NGC6992_2025-07-28","H",180,2.5416,4.85003830993811,0.3473,2025-07-29 02:00:00,27.1
"80","NGC6992_2025-07-28","H",180,2.6168,4.96308691404603,0.1116,2025-07-29 02:03:00,26.9
"81","NGC6992_2025-07-28","H",180,2.5923,4.93103755886894,0.0845,2025-07-29 02:06:00,26.8
"82","NGC6992_2025-07-28","H",180,2.764,5.03355477374946,0.4892,2025-07-29 02:09:00,26.9
"83","NGC6992_2025-07-28","H",180,2.5729,4.89181741717594,0.3136,2025-07-29 02:12:00,26.9
